Name,Age,Nationality,Overall,Potential,Club
Cristiano Ronaldo,32,Portugal,94,94,Real Madrid CF
L. Messi,30,Argentina,93,93,FC Barcelona
Neymar,25,Brazil,92,94,Paris Saint-Germain
L. Suárez,30,Uruguay,92,92,FC Barcelona
M. Neuer,31,Germany,92,92,FC Bayern Munich
R. Lewandowski,28,Poland,91,91,FC Bayern Munich
De Gea,26,Spain,90,92,Manchester United
E. Hazard,26,Belgium,90,91,Chelsea
T. Kroos,27,Germany,90,90,Real Madrid CF
G. Higuaín,29,Argentina,90,90,Juventus
Sergio Ramos,31,Spain,90,90,Real Madrid CF
K. De Bruyne,26,Belgium,89,92,Manchester City
T. Courtois,25,Belgium,89,92,Chelsea
A. Sánchez,28,Chile,89,89,Arsenal
L. Modrić,31,Croatia,89,89,Real Madrid CF
G. Bale,27,Wales,89,89,Real Madrid CF
S. Agüero,29,Argentina,89,89,Manchester City
G. Chiellini,32,Italy,89,89,Juventus
G. Buffon,39,Italy,89,89,Juventus
P. Dybala,23,Argentina,88,93,Juventus
J. Oblak,24,Slovenia,88,93,Atlético Madrid
A. Griezmann,26,France,88,91,Atlético Madrid
Thiago,26,Spain,88,90,FC Bayern Munich
P. Aubameyang,28,Gabon,88,88,Borussia Dortmund
L. Bonucci,30,Italy,88,88,Milan
J. Boateng,28,Germany,88,88,FC Bayern Munich
D. Godín,31,Uruguay,88,88,Atlético Madrid
M. Hummels,28,Germany,88,88,FC Bayern Munich
M. Özil,28,Germany,88,88,Arsenal
H. Lloris,30,France,88,88,Tottenham Hotspur
Thiago Silva,32,Brazil,88,88,Paris Saint-Germain
Z. Ibrahimović,35,Sweden,88,88,Manchester United
A. Robben,33,Netherlands,88,88,FC Bayern Munich
N. Kanté,26,France,87,90,Chelsea
M. Verratti,24,Italy,87,91,Paris Saint-Germain
P. Pogba,24,France,87,92,Manchester United
C. Eriksen,25,Denmark,87,91,Tottenham Hotspur
A. Vidal,30,Chile,87,87,FC Bayern Munich
E. Cavani,30,Uruguay,87,87,Paris Saint-Germain
Marcelo,29,Brazil,87,87,Real Madrid CF
M. Hamšík,29,Slovakia,87,87,Napoli
I. Rakitić,29,Croatia,87,87,FC Barcelona
David Silva,31,Spain,87,87,Manchester City
S. Handanovič,32,Slovenia,87,87,Inter
Piqué,30,Spain,87,87,FC Barcelona
Iniesta,33,Spain,87,87,FC Barcelona
H. Kane,23,England,86,90,Tottenham Hotspur
J. Rodríguez,25,Colombia,86,89,FC Bayern Munich
Isco,25,Spain,86,90,Real Madrid CF
D. Alaba,25,Austria,86,88,FC Bayern Munich
R. Lukaku,24,Belgium,86,90,Manchester United
Alex Sandro,26,Brazil,86,88,Juventus
T. Müller,27,Germany,86,86,FC Bayern Munich
Sergio Busquets,28,Spain,86,86,FC Barcelona
Coutinho,25,Brazil,86,89,Liverpool
M. Reus,28,Germany,86,86,Borussia Dortmund
T. Alderweireld,28,Belgium,86,87,Tottenham Hotspur
David Luiz,30,Brazil,86,86,Chelsea
Diego Costa,28,Spain,86,86,Chelsea
R. Nainggolan,29,Belgium,86,86,Roma
Javi Martínez,28,Spain,86,86,FC Bayern Munich
D. Mertens,30,Belgium,86,86,Napoli
Sokratis,29,Greece,86,86,Borussia Dortmund
Miranda,32,Brazil,86,86,Inter
K. Benzema,29,France,86,86,Real Madrid CF
Cesc Fàbregas,30,Spain,86,86,Chelsea
F. Ribéry,34,France,86,86,FC Bayern Munich
Pepe,34,Portugal,86,86,Beşiktaş JK
P. Čech,35,Czech Republic,86,86,Arsenal
Y. Carrasco,23,Belgium,85,90,Atlético Madrid
R. Varane,24,France,85,92,Real Madrid CF
Casemiro,25,Brazil,85,89,Real Madrid CF
L. Insigne,26,Italy,85,86,Napoli
A. Lacazette,26,France,85,88,Arsenal
K. Navas,30,Costa Rica,85,85,Real Madrid CF
H. Mkhitaryan,28,Armenia,85,85,Manchester United
D. Subašić,32,Croatia,85,85,AS Monaco
B. Leno,25,Germany,85,88,Bayer 04 Leverkusen
M. ter Stegen,25,Germany,85,89,FC Barcelona
K. Glik,29,Poland,85,85,AS Monaco
Jordi Alba,28,Spain,85,85,FC Barcelona
I. Gündoğan,26,Germany,85,87,Manchester City
Azpilicueta,27,Spain,85,87,Chelsea
A. Di María,29,Argentina,85,85,Paris Saint-Germain
M. Pjanić,27,Bosnia Herzegovina,85,86,Juventus
C. Marchisio,31,Italy,85,85,Juventus
J. Vertonghen,30,Belgium,85,85,Tottenham Hotspur
B. Matuidi,30,France,85,85,Juventus
S. Ruffier,30,France,85,85,AS Saint-Étienne
Filipe Luís,31,Brazil,85,85,Atlético Madrid
V. Kompany,31,Belgium,85,85,Manchester City
A. Barzagli,36,Italy,85,85,Juventus
E. Bailly,23,Ivory Coast,84,89,Manchester United
Marco Asensio,21,Spain,84,92,Real Madrid CF
Bernardo Silva,22,Portugal,84,91,Manchester City
A. Laporte,23,France,84,89,Athletic Club de Bilbao
D. Alli,21,England,84,90,Tottenham Hotspur
S. Mané,25,Senegal,84,87,Liverpool
Carvajal,25,Spain,84,87,Real Madrid CF
J. Draxler,23,Germany,84,87,Paris Saint-Germain
M. Icardi,24,Argentina,84,89,Inter
Morata,24,Spain,84,88,Chelsea
K. Koulibaly,26,Senegal,84,87,Napoli
T. Horn,24,Germany,84,90,1. FC Köln
Koke,25,Spain,84,88,Atlético Madrid
K. Manolas,26,Greece,84,86,Roma
S. Mustafi,25,Germany,84,86,Arsenal
Ander Herrera,27,Spain,84,84,Manchester United
